Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
155000.0,Provinciale Steenweg 354,2,F,720,0,1,0,0,0,2,1937,0,1,0,0,0,Not installed,Gas,10666786,2845
320000.0,Yzerhand 14,4,B,169,0,0,21,160,35,2,2001,Good,2,0,0,2,Installed,Gas,10666779,9130
599000.0,rue alphonse renard 56,3,C,9848,0,0,44,0,0,3,2020,As new,2,2,0,2,USA hyper equipped,0,10666778,1180
640000.0,Heusdendorp 7,7,D,397,0,0,40,1353,42,4,1980,To renovate,2,2,1,3,Semi equipped,Electric,10666775,9070
199000.0,Kerkstraat 84,2,E,474,0,0,0,0,0,3,1960,Good,1,0,0,1,Installed,Gas,10666769,9255
745000.0,Mechelsesteenweg 123 bus 1,6,C,254,0,1,0,2000,27,4,2000,As new,2,0,1,2,Hyper equipped,Fuel oil,10666765,9200
359000.0,Mechelsesteenweg 123 bus 1,3,C,267,0,1,0,520,0,4,1968,As new,1,0,0,0,Hyper equipped,Fuel oil,10666762,9280
419000.0,Mechelsesteenweg 123 bus 1,3,C,202,0,1,0,370,0,3,1995,As new,1,1,0,2,Hyper equipped,Gas,10666761,9200
1450000.0,Avenue Van Overbeke 134,11,G,500,0,0,0,190,0,3,1950,Good,7,0,0,11,Hyper equipped,Gas,10666760,1080
1495000.0,Rue de Rixensart 77,10,D,312,0,0,59,4125,50,4,1972,As new,10,2,1,4,USA hyper equipped,Fuel oil,20,20
1495000.0,Rue de Rixensart 77,10,D,312,0,0,59,4125,50,4,1972,As new,10,2,1,4,USA hyper equipped,Fuel oil,20,20
170000.0,Rue de Rixensart 77,1,E,423,0,0,0,0,18,0,1950,Good,1,0,0,1,Hyper equipped,Gas,10666753,1330
380000.0,Burchtstraat 12,4,B,200,0,1,0,417,42,3,2009,As new,1,0,1,2,Hyper equipped,Gas,10666751,1742
270000.0,Edegemsestraat 56,3,A,88,0,0,8,0,0,2,2013,Good,1,1,0,1,Hyper equipped,Gas,2660,20
380000.0,Voie de l'Ardenne 179,3,A,Not specified,0,0,26,0,43,3,2023,As new,1,1,0,2,USA hyper equipped,Gas,10666715,4367
354000.0,Voie de l'Ardenne 179,3,A,Not specified,0,0,25,0,42,3,2023,As new,1,1,0,2,USA hyper equipped,Gas,10666714,4367
649000.0,Brusselsesteenweg 65,5,B,193,0,1,0,722,44,3,1992,Good,3,0,0,3,Installed,Gas,10666704,1830
860000.0,"Vanderkelenstraat, 22",3,B,122,0,1,0,0,67,0,2002,As new,2,1,0,2,Hyper equipped,Gas,10666697,3300
265000.0,Rue de la Forestière 14 A,3,D,296,0,0,30,1260,29,4,1935,To be done up,1,1,0,1,Installed,Fuel oil,6792,20
565000.0,Chaussée Bara 339,2,A,47,0,0,46,0,0,4,2023,As new,2,2,0,1,Hyper equipped,Gas,1420,27
375000.0,Schootstraat 254,3,B,190,0,1,0,1138,0,4,1992,Good,1,0,0,0,Installed,Fuel oil,10666666,3580
395000.0,Voskenslaan 93,3,B,127,0,0,0,0,0,0,1976,Just renovated,1,0,0,0,Hyper equipped,Gas,10666640,9820
399000.0,Rue de Menin 400,4,C,205,0,1,0,573,31,4,1980,As new,2,2,1,0,Installed,Gas,7712,20
329000.0,Rue de Menin 400,3,B,137,0,1,0,308,58,3,2008,As new,1,1,0,0,Installed,Gas,10613850,7712
330000.0,Chaussée Paul Houtart 232,3,A,73,0,1,0,234,0,2,2021,As new,1,0,0,2,Installed,Gas,3,20
524400.0,Sint-Denijslaan 1,4,A,30,0,0,22,204,25,2,2023,As new,2,0,0,2,Installed,0,10666627,9050
524400.0,Sint-Denijslaan 1,4,A,30,0,0,22,205,26,2,2023,As new,2,0,0,2,Installed,0,10666626,9050
524400.0,Sint-Denijslaan 1,4,A,30,0,0,22,206,26,2,2023,As new,2,0,0,2,Installed,0,10666625,9050
385000.0,Sint-Denijslaan 1,3,A,20,0,0,20,196,50,3,2023,0,1,1,0,2,USA hyper equipped,0,10666619,9660
375000.0,Sint-Denijslaan 1,3,A,20,0,0,20,214,50,2,2023,0,1,1,0,2,USA hyper equipped,Gas,10666618,9660
390000.0,Sint-Denijslaan 1,3,A,20,0,0,22,249,37,2,2023,0,1,1,0,2,USA hyper equipped,Gas,10666617,9660
465000.0,Sint-Denijslaan 1,3,A,20,0,0,22,235,50,2,2023,0,1,1,0,2,USA hyper equipped,Gas,10666616,9660
485000.0,Sint-Denijslaan 1,4,A,20,0,0,30,171,49,3,2022,0,1,1,0,2,USA hyper equipped,Gas,10666615,9660
359000.0,Herseltsesteenweg 95,5,D,343,0,0,0,568,0,3,1965,Good,1,0,0,0,Installed,Gas,3272,20
349000.0,Sint-Denijslaan 1,2,B,150,0,0,9,0,40,3,2003,Good,2,0,0,2,USA installed,Gas,10666607,9031
339000.0,Stationsstraat 120,4,D,318,1,1,0,600,32,3,1950,Good,1,0,0,1,Installed,Gas,10666600,1770
625000.0,Sint-Denijslaan 1,3,B,186,0,0,27,0,92,4,1994,Good,1,0,1,2,USA hyper equipped,Gas,10666575,9800
290000.0,Sint-Denijslaan 1,4,F,787,0,0,68,689,10,3,1918,To renovate,2,1,1,2,USA installed,0,10666573,9900
495000.0,Nieuwstraat 9,4,B,101,0,1,0,0,85,2,2008,As new,2,0,0,0,Hyper equipped,Gas,10666553,9400
340000.0,Aarschotsesteenweg 201A,3,F,709,0,1,0,980,0,4,1971,Good,1,0,0,2,Installed,Gas,10666551,3130
269000.0,Heilige Dominicus Saviolaan 4,3,B,156,0,0,18,0,33,2,1931,As new,1,1,0,1,USA hyper equipped,Gas,10472531,9550
329400.0,Rue Defacqz 40,27,F,342,1,0,495,560,60,4,1986,As new,27,2,1,2,USA hyper equipped,Electric,10666538,1000
345000.0,Chaussée de la Hulpe 166,2,F,341,0,0,3,0,33,2,1936,Good,1,0,0,1,Semi equipped,Gas,10666536,1030
345000.0,Chaussée de la Hulpe 166,1,F,341,0,0,3,0,33,2,1936,Good,1,0,0,1,Semi equipped,Gas,10666535,1030
229000.0,"Avenue d'Itterbeek, 60",3,F,281,0,0,13,0,36,2,1959,As new,1,0,0,1,Installed,Gas,10666532,1070
349000.0,Hoogstraat 20,4,B,199,0,1,0,443,31,4,1981,To be done up,2,1,1,1,Hyper equipped,0,10666525,9340
385000.0,"Boulevard du Souverain, 254",2,B,73,0,0,16,0,33,3,2014,Good,2,1,0,1,USA installed,Gas,10666522,1000
275000.0,Avenue de Tervueren 446,2,B,93,0,0,7,0,28,4,2008,As new,1,0,0,1,Hyper equipped,Gas,10666516,1080
285000.0,Rue Potaerdenberg 31,2,B,169,0,0,5,0,40,2,1972,Good,1,0,0,1,USA hyper equipped,Gas,10666507,1700
195000.0,Amsterdamstraat 27,1,B,154,0,0,8,0,28,2,1966,Good,1,0,0,0,Hyper equipped,Fuel oil,10666505,2600
295000.0,Chaussée de Huy 231,3,B,161,0,0,0,0,41,0,1989,To renovate,2,0,0,2,Installed,Gas,10666502,1300
695000.0,Chaussée de Huy 231,4,C,206,0,0,40,1521,53,4,1978,Just renovated,2,0,0,2,Installed,Fuel oil,10666501,1390
895000.0,Chaussée de Huy 231,5,B,131,0,0,60,800,67,4,2009,0,0,0,1,5,USA hyper equipped,Gas,10666500,1300
595000.0,Chaussée de Huy 231,3,A+,32,0,1,0,192,46,0,2011,0,1,1,1,3,Installed,Gas,10666495,1325
349000.0,"Chaussée de la libération, 3",3,F,505,0,0,0,768,40,4,1970,To be done up,1,0,1,2,Semi equipped,Fuel oil,10666485,3040
349000.0,"Chaussée de la libération, 3",3,F,505,0,0,0,768,40,4,1970,To be done up,1,0,1,2,Semi equipped,Fuel oil,10666482,3051
349000.0,"Chaussée de la libération, 3",3,F,505,0,0,0,768,40,4,1970,To be done up,1,0,1,2,Semi equipped,Fuel oil,10666481,1390
543000.0,"Chaussée de la libération, 3",4,B,88,0,0,40,887,0,4,2023,0,2,0,0,3,Installed,Gas,10666479,1320
349000.0,"Chaussée de la libération, 3",4,E,407,0,0,0,443,15,3,1949,0,3,0,0,4,Installed,Gas,10666476,1390
199000.0,"Chaussée de la libération, 3",1,D,184,0,0,0,0,0,0,1960,0,0,1,0,1,Semi equipped,Gas,10666474,1000
215000.0,"Chaussée de la libération, 3",2,D,276,0,0,0,0,32,3,1996,0,1,0,0,0,Installed,Gas,10666470,1390
499000.0,"Chaussée de la libération, 3",3,C,250,0,0,30,712,52,4,1964,0,2,0,1,2,Installed,0,10666468,1390
850000.0,Haachtsebaan 119,5,A,96,0,1,0,875,22,4,2016,As new,2,0,1,2,USA hyper equipped,Gas,10666444,3210
895000.0,"Val des Seigneurs, 9a",4,B,117,0,1,0,1292,50,4,2005,As new,2,0,1,2,Hyper equipped,Gas,10666434,1300
695000.0,"Val des Seigneurs, 9a",3,B,159,0,1,0,1398,32,4,2005,As new,3,0,1,3,Hyper equipped,Gas,10666433,1300
330000.0,"Val des Seigneurs, 9a",2,D,193,0,1,0,0,26,0,1950,As new,1,1,0,1,Hyper equipped,Gas,10666430,1150
1395000.0,"Rue de Wavre, 27",5,C,178,0,0,60,6468,50,4,1988,Good,2,3,1,4,Hyper equipped,Fuel oil,10666426,1301
189000.0,Avenue Louis Libert 1,2,E,346,0,1,0,360,32,2,1934,Good,1,0,0,0,Semi equipped,Fuel oil,10666419,4460
399999.0,Avenue Louis Libert 1,4,C,228,0,1,0,1059,44,4,2004,To be done up,1,0,1,0,Semi equipped,Fuel oil,10666418,4920
480000.0,Route du Condroz 72,4,D,274,0,0,120,2183,16,4,1987,Good,2,1,1,2,Installed,Electric,8,3
239000.0,Grote Baan 170,3,F,684,0,1,0,132,33,2,1952,Good,1,0,0,0,Hyper equipped,Electric,10666405,9300
170000.0,Place Emile Delalieux 1,1,B,106,0,0,8,0,26,0,2018,As new,1,1,0,1,Installed,Gas,20,20
310000.0,Brusselbaan 110,3,B,155,0,0,8,60,33,2,1930,Good,1,0,0,0,Installed,Gas,10666396,9300
297000.0,Rondplein 14/2,3,B,199,0,1,0,562,28,4,1973,0,1,0,1,0,Hyper equipped,0,10666390,3970
1990000.0,Chaussée de Waterloo 1382,5,A,3176,0,0,40,1184,65,4,2018,As new,3,1,1,5,USA hyper equipped,0,10666382,1180
595000.0,Chaussée de Waterloo 1382,3,D,190,0,0,7,0,54,2,1937,Good,2,1,1,2,Hyper equipped,Fuel oil,10666381,1200
700000.0,Voie de L'air Pur 211,3,C,218,0,1,0,3190,50,4,1993,As new,1,0,1,2,Installed,Fuel oil,10666371,4877
875000.0,Kempischveldweg 34,5,B,187,0,1,0,2146,46,4,1972,Good,2,0,1,0,USA hyper equipped,Gas,10666368,2930
1295000.0,Kempischveldweg 34,5,C,206,0,1,0,2710,0,4,1895,As new,2,0,1,0,Hyper equipped,0,10666367,2180
469000.0,"Avenue des Cerisiers, 212",4,F,283,0,0,40,343,40,3,1963,As new,1,1,1,2,Hyper equipped,0,10666352,1020
469000.0,"Avenue des Cerisiers, 212",4,C,283,0,0,40,343,40,3,1963,As new,1,1,1,2,Hyper equipped,0,1800,20
240000.0,"Avenue des Cerisiers, 212",2,E,221,0,0,17,0,28,0,1964,To renovate,1,1,0,1,Semi equipped,Gas,10666348,1200
215000.0,Den Triangel 2,2,B,109,0,1,0,0,0,3,2012,As new,1,0,0,1,USA hyper equipped,0,10560725,8810
200000.0,Avenue Baron Albert d'Huart 130,2,E,274,0,0,5,0,30,0,1970,To renovate,1,1,0,0,Installed,Gas,10666334,1030
950000.0,Chaussée de Marche 474,5,C,234,0,0,120,24347,40,4,1989,As new,2,2,0,2,Installed,Fuel oil,10666313,5150
840000.0,Rue Belliard 200,5,F,325,0,0,5,0,36,3,1931,As new,3,3,1,4,Hyper equipped,Gas,10666312,1150
1400000.0,Rue Belliard 200,8,E,253,0,1,0,305,389,2,1912,Good,4,116,1,2,Installed,Gas,10666309,1030
570000.0,Rue Belliard 200,2,G,733,0,0,8,0,55,2,1960,Just renovated,1,0,0,2,USA hyper equipped,Fuel oil,10666308,1040
